ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
1558867_at,6.12E-01,5.72E-01,5.61E-01,DSE,dermatan sulfate epimerase
244852_at,1.92E-02,1.11E-02,4.66,DSEL,dermatan sulfate epimerase-like
232235_at,2.61E-02,1.57E-02,4.29,DSEL,dermatan sulfate epimerase-like
232825_s_at,6.74E-02,4.63E-02,3.15,DSEL,dermatan sulfate epimerase-like
217671_at,5.74E-01,5.33E-01,6.33E-01,DSERG1,Down syndrome encephalopathy related protein 1
206642_at,1.46E-01,1.12E-01,2.23,DSG1,desmoglein 1
217901_at,5.27E-05,1.29E-05,1.23E+01,DSG2,desmoglein 2
1553105_s_at,9.05E-03,4.71E-03,5.58,DSG2,desmoglein 2
243081_at,2.67E-02,1.61E-02,4.26,DSG2-AS1,DSG2 antisense RNA 1
1556834_at,4.71E-02,3.08E-02,3.58,DSG2-AS1,DSG2 antisense RNA 1
1556835_s_at,5.88E-01,5.48E-01,6.05E-01,DSG2-AS1,DSG2 antisense RNA 1
235075_at,6.71E-06,1.21E-06,1.51E+01,DSG3,desmoglein 3
205595_at,8.11E-05,2.11E-05,1.17E+01,DSG3,desmoglein 3
1561330_at,1.12E-01,8.28E-02,2.54,DSG4,desmoglein 4
219512_at,9.02E-03,4.69E-03,5.59,DSN1,"DSN1 homolog, MIS12 kinetochore complex component"
200606_at,1.24E-07,1.21E-08,2.10E+01,DSP,desmoplakin
221681_s_at,3.03E-03,1.35E-03,6.95,DSPP,dentin sialophosphoprotein
204455_at,1.38E-12,2.22E-14,4.03E+01,DST,dystonin
215810_x_at,2.92E-08,2.29E-09,2.32E+01,DST,dystonin
212253_x_at,2.56E-06,3.98E-07,1.65E+01,DST,dystonin
212254_s_at,2.52E-05,5.54E-06,1.33E+01,DST,dystonin
215016_x_at,3.53E-05,8.16E-06,1.28E+01,DST,dystonin
215814_at,5.70E-05,1.41E-05,1.22E+01,DST,dystonin
232098_at,6.02E-04,2.11E-04,9.03,DST,dystonin
1553191_at,3.80E-03,1.74E-03,6.67,DST,dystonin
216918_s_at,5.20E-03,2.51E-03,6.27,DST,dystonin
220154_at,1.56E-01,1.21E-01,2.15,DST,dystonin
201021_s_at,1.13E-04,3.09E-05,1.12E+01,DSTN,"destrin, actin depolymerizing factor"
230933_at,1.23E-04,3.41E-05,1.11E+01,DSTN,"destrin, actin depolymerizing factor"
201022_s_at,2.09E-04,6.28E-05,1.04E+01,DSTN,"destrin, actin depolymerizing factor"
211325_x_at,2.60E-04,8.08E-05,1.01E+01,DSTNP2,"destrin, actin depolymerizing factor pseudogene 2"
211515_s_at,1.05E-08,7.09E-10,2.48E+01,DSTYK,dual serine/threonine and tyrosine protein kinase
211514_at,3.30E-06,5.36E-07,1.61E+01,DSTYK,dual serine/threonine and tyrosine protein kinase
214663_at,3.34E-06,5.42E-07,1.61E+01,DSTYK,dual serine/threonine and tyrosine protein kinase
229017_s_at,4.20E-04,1.40E-04,9.5,DSTYK,dual serine/threonine and tyrosine protein kinase
234107_s_at,6.38E-04,2.26E-04,8.95,DTD1,D-tyrosyl-tRNA deacylase 1
1552718_at,1.41E-01,1.07E-01,2.27,DTD1,D-tyrosyl-tRNA deacylase 1
227158_at,1.49E-03,5.95E-04,7.86,DTD2,D-tyrosyl-tRNA deacylase 2 (putative)
1553801_a_at,3.69E-03,1.68E-03,6.71,DTD2,D-tyrosyl-tRNA deacylase 2 (putative)
1564160_at,7.62E-03,3.87E-03,5.79,DTHD1,death domain containing 1
222680_s_at,2.69E-06,4.23E-07,1.64E+01,DTL,denticleless E3 ubiquitin protein ligase homolog
218585_s_at,3.05E-06,4.87E-07,1.63E+01,DTL,denticleless E3 ubiquitin protein ligase homolog
210091_s_at,7.06E-08,6.31E-09,2.19E+01,DTNA,dystrobrevin alpha
210611_s_at,1.82E-07,1.89E-08,2.04E+01,DTNA,dystrobrevin alpha
205741_s_at,1.95E-06,2.91E-07,1.69E+01,DTNA,dystrobrevin alpha
211493_x_at,1.20E-05,2.37E-06,1.43E+01,DTNA,dystrobrevin alpha
244142_at,1.14E-04,3.14E-05,1.12E+01,DTNA,dystrobrevin alpha
227084_at,1.72E-03,7.05E-04,7.67,DTNA,dystrobrevin alpha
210736_x_at,2.23E-03,9.48E-04,7.34,DTNA,dystrobrevin alpha
208430_s_at,7.38E-01,7.09E-01,3.45E-01,DTNA,dystrobrevin alpha
215295_at,2.13E-03,8.98E-04,7.4,DTNB,dystrobrevin beta
214253_s_at,6.54E-02,4.47E-02,3.18,DTNB,dystrobrevin beta
223446_s_at,1.03E-03,3.92E-04,8.33,DTNBP1,dystrobrevin binding protein 1
223763_at,1.92E-03,7.98E-04,7.53,DTNBP1,dystrobrevin binding protein 1
223445_at,3.71E-02,2.35E-02,3.86,DTNBP1,dystrobrevin binding protein 1
232429_at,1.24E-04,3.45E-05,1.11E+01,DTWD1,DTW domain containing 1
219291_at,9.90E-04,3.74E-04,8.38,DTWD1,DTW domain containing 1
244146_at,3.30E-03,1.48E-03,6.85,DTWD1,DTW domain containing 1
229984_at,7.26E-03,3.66E-03,5.86,DTWD1,DTW domain containing 1
236649_at,3.15E-02,1.95E-02,4.06,DTWD1,DTW domain containing 1
1555210_at,1.42E-01,1.08E-01,2.26,DTWD1,DTW domain containing 1
231277_x_at,1.13E-01,8.37E-02,2.53,DTWD2,DTW domain containing 2
227336_at,3.79E-02,2.40E-02,3.84,DTX1,deltex E3 ubiquitin ligase 1
210707_x_at,5.58E-04,1.94E-04,9.13,DTX2P1-UPK3BP1-PMS2P11,"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene"
179_at,9.34E-03,4.88E-03,5.54,DTX2P1-UPK3BP1-PMS2P11,"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene"
49051_g_at,3.24E-11,8.88E-13,3.45E+01,DTX3,deltex E3 ubiquitin ligase 3
49049_at,4.88E-08,4.13E-09,2.24E+01,DTX3,deltex E3 ubiquitin ligase 3
235721_at,6.73E-08,5.98E-09,2.19E+01,DTX3,deltex E3 ubiquitin ligase 3
221835_at,1.69E-02,9.57E-03,4.82,DTX3,deltex E3 ubiquitin ligase 3
222022_at,2.24E-01,1.83E-01,1.72,DTX3,deltex E3 ubiquitin ligase 3
225415_at,2.33E-04,7.10E-05,1.03E+01,DTX3L,deltex E3 ubiquitin ligase 3L
212611_at,2.37E-02,1.41E-02,4.4,DTX4,deltex E3 ubiquitin ligase 4
203270_at,5.97E-10,2.58E-11,2.95E+01,DTYMK,deoxythymidylate kinase
1553984_s_at,1.32E-09,6.45E-11,2.82E+01,DTYMK,deoxythymidylate kinase
1553983_at,1.49E-04,4.25E-05,1.09E+01,DTYMK,deoxythymidylate kinase
1565693_at,4.74E-04,1.61E-04,9.34,DTYMK,deoxythymidylate kinase
1565694_at,8.10E-03,4.15E-03,5.72,DTYMK,deoxythymidylate kinase
239466_at,1.60E-07,1.62E-08,2.06E+01,DUBR,DPPA2 upstream binding RNA
235606_at,1.08E-06,1.48E-07,1.78E+01,DUBR,DPPA2 upstream binding RNA
215800_at,9.20E-02,6.60E-02,2.77,DUOX1,dual oxidase 1
219597_s_at,3.16E-01,2.70E-01,1.32,DUOX1,dual oxidase 1
1565795_at,5.49E-01,5.07E-01,6.83E-01,DUOX1,dual oxidase 1
219727_at,4.74E-03,2.25E-03,6.39,DUOX2,dual oxidase 2
1555404_a_at,4.82E-03,2.29E-03,6.37,DUOXA1,dual oxidase maturation factor 1
1554648_a_at,4.36E-02,2.82E-02,3.67,DUOXA1,dual oxidase maturation factor 1
230615_at,3.13E-02,1.93E-02,4.07,DUOXA2,dual oxidase maturation factor 2
217912_at,4.82E-07,5.84E-08,1.89E+01,DUS1L,dihydrouridine synthase 1 like
219486_at,4.53E-03,2.13E-03,6.45,DUS2,dihydrouridine synthase 2
47105_at,1.02E-02,5.41E-03,5.43,DUS2,dihydrouridine synthase 2
224966_s_at,1.72E-03,7.05E-04,7.67,DUS3L,dihydrouridine synthase 3 like
230145_at,1.16E-01,8.61E-02,2.5,DUS3L,dihydrouridine synthase 3 like
205761_s_at,1.13E-02,6.07E-03,5.31,DUS4L,dihydrouridine synthase 4 like
205762_s_at,3.40E-01,2.93E-01,1.24,DUS4L,dihydrouridine synthase 4 like
201044_x_at,2.01E-16,7.23E-19,5.83E+01,DUSP1,dual specificity phosphatase 1
201041_s_at,2.25E-12,3.94E-14,3.94E+01,DUSP1,dual specificity phosphatase 1
226578_s_at,1.65E-03,6.71E-04,7.73,DUSP1,dual specificity phosphatase 1
221563_at,6.71E-04,2.39E-04,8.89,DUSP10,dual specificity phosphatase 10
215501_s_at,6.86E-04,2.45E-04,8.86,DUSP10,dual specificity phosphatase 10
202703_at,3.07E-02,1.89E-02,4.09,DUSP11,dual specificity phosphatase 11
218576_s_at,8.86E-01,8.72E-01,1.37E-01,DUSP12,dual specificity phosphatase 12
219963_at,9.30E-06,1.76E-06,1.47E+01,DUSP13,dual specificity phosphatase 13
203367_at,1.10E-04,3.01E-05,1.13E+01,DUSP14,dual specificity phosphatase 14
234829_at,1.08E-02,5.73E-03,5.37,DUSP15,dual specificity phosphatase 15
230402_at,5.55E-01,5.13E-01,6.71E-01,DUSP15,dual specificity phosphatase 15
1563505_at,4.14E-08,3.42E-09,2.27E+01,DUSP16,dual specificity phosphatase 16
224336_s_at,3.61E-04,1.17E-04,9.7,DUSP16,dual specificity phosphatase 16
224832_at,2.45E-02,1.46E-02,4.36,DUSP16,dual specificity phosphatase 16
1555399_a_at,5.39E-01,4.96E-01,7.05E-01,DUSP16,dual specificity phosphatase 16
227098_at,2.75E-05,6.10E-06,1.32E+01,DUSP18,dual specificity phosphatase 18
1553701_a_at,5.27E-05,1.29E-05,1.23E+01,DUSP18,dual specificity phosphatase 18
1552705_at,3.73E-07,4.34E-08,1.93E+01,DUSP19,dual specificity phosphatase 19
1555598_a_at,5.04E-04,1.73E-04,9.26,DUSP19,dual specificity phosphatase 19
1552708_a_at,1.08E-01,7.90E-02,2.59,DUSP19,dual specificity phosphatase 19
204794_at,3.34E-02,2.08E-02,3.99,DUSP2,dual specificity phosphatase 2
220515_at,9.88E-03,5.21E-03,5.47,DUSP21,dual specificity phosphatase 21
218845_at,7.33E-02,5.10E-02,3.04,DUSP22,dual specificity phosphatase 22
223402_at,7.36E-04,2.66E-04,8.77,DUSP23,dual specificity phosphatase 23
219144_at,2.90E-07,3.25E-08,1.97E+01,DUSP26,dual specificity phosphatase 26 (putative)
232252_at,5.79E-07,7.22E-08,1.87E+01,DUSP27,dual specificity phosphatase 27 (putative)
229211_at,8.29E-02,5.87E-02,2.9,DUSP28,dual specificity phosphatase 28
201537_s_at,6.85E-04,2.45E-04,8.86,DUSP3,dual specificity phosphatase 3
201536_at,1.73E-03,7.09E-04,7.66,DUSP3,dual specificity phosphatase 3
201538_s_at,4.52E-02,2.94E-02,3.62,DUSP3,dual specificity phosphatase 3
204015_s_at,1.97E-03,8.24E-04,7.5,DUSP4,dual specificity phosphatase 4
204014_at,1.07E-01,7.84E-02,2.6,DUSP4,dual specificity phosphatase 4
226034_at,3.04E-01,2.59E-01,1.37,DUSP4,dual specificity phosphatase 4
209457_at,9.18E-01,9.07E-01,9.74E-02,DUSP5,dual specificity phosphatase 5
1553299_at,4.60E-05,1.10E-05,1.25E+01,DUSP5P1,dual specificity phosphatase 5 pseudogene 1
208892_s_at,2.63E-10,1.00E-11,3.09E+01,DUSP6,dual specificity phosphatase 6
208891_at,2.46E-09,1.32E-10,2.72E+01,DUSP6,dual specificity phosphatase 6
208893_s_at,5.77E-09,3.52E-10,2.58E+01,DUSP6,dual specificity phosphatase 6
213848_at,1.09E-03,4.17E-04,8.26,DUSP7,dual specificity phosphatase 7
214793_at,1.13E-02,6.07E-03,5.31,DUSP7,dual specificity phosphatase 7
205777_at,7.71E-01,7.44E-01,2.96E-01,DUSP9,dual specificity phosphatase 9
208955_at,2.91E-04,9.20E-05,9.98,DUT,deoxyuridine triphosphatase
208956_x_at,2.29E-02,1.35E-02,4.45,DUT,deoxyuridine triphosphatase
209932_s_at,2.77E-01,2.33E-01,1.47,DUT,deoxyuridine triphosphatase
208176_at,3.55E-03,1.61E-03,6.75,DUX1,double homeobox 1
208582_s_at,6.43E-01,6.05E-01,5.04E-01,DUX1///DUX3///DUX5,double homeobox 1///double homeobox 3///double homeobox 5
216473_x_at,1.51E-03,6.05E-04,7.84,DUX4L24///DBET///LOC100291626///DUX4///LOC100288289///DUX4L2///DUX4L3///DUX4L5///DUX4L6///DUX4L7///LOC652301///DUX4L4///DUX4L8///DUX4L1,double homeobox 4 like 24///D4Z4 binding element transcript (non-protein coding)///double homeobox protein 4-like///double homeobox 4///double homeobox protein 4-like protein 2-like///double homeobox 4 like 2///double homeobox 4 like 3///double homeobox 4 like 5///double homeobox 4 like 6///double homeobox 4 like 7///double homeobox protein 4-like protein 4-like///double homeobox 4 like 4///double homeobox 4 like 8///double homeobox 4 like 1
208201_at,2.02E-01,1.62E-01,1.85,DUX4L24///DBET///LOC100291626///DUX4///LOC100288289///LOC100287823///LOC100133400///DUX4L2///DUX4L3///DUX4L5///DUX4L6///DUX4L7///LOC652301///DUX4L4///DUX4L8///DUX3///DUX4L1,double homeobox 4 like 24///D4Z4 binding element transcript (non-protein coding)///double homeobox protein 4-like///double homeobox 4///double homeobox protein 4-like protein 2-like///double homeobox protein 4-like protein 4///double homeobox protein 4-like protein 4-like///double homeobox 4 like 2///double homeobox 4 like 3///double homeobox 4 like 5///double homeobox 4 like 6///double homeobox 4 like 7///double homeobox protein 4-like protein 4-like///double homeobox 4 like 4///double homeobox 4 like 8///double homeobox 3///double homeobox 4 like 1
242881_x_at,2.79E-02,1.70E-02,4.2,DUXAP10,double homeobox A pseudogene 10
239010_at,6.13E-01,5.74E-01,5.58E-01,DUXAP10,double homeobox A pseudogene 10
203230_at,1.02E-03,3.85E-04,8.35,DVL1,dishevelled segment polarity protein 1
57532_at,1.67E-04,4.83E-05,1.07E+01,DVL2,dishevelled segment polarity protein 2
218759_at,9.38E-03,4.91E-03,5.54,DVL2,dishevelled segment polarity protein 2
201907_x_at,1.39E-04,3.91E-05,1.10E+01,DVL3,dishevelled segment polarity protein 3
201908_at,1.81E-01,1.43E-01,1.97,DVL3,dishevelled segment polarity protein 3
215982_s_at,1.79E-02,1.02E-02,4.74,DXO,decapping exoribonuclease
38157_at,1.54E-01,1.19E-01,2.17,DXO,decapping exoribonuclease
204522_at,9.98E-01,9.97E-01,2.65E-03,DXO,decapping exoribonuclease
1552993_at,7.87E-02,5.53E-02,2.96,DYDC1,DPY30 domain containing 1
239733_at,3.63E-01,3.16E-01,1.16,DYDC2,DPY30 domain containing 2
223171_at,9.45E-08,8.81E-09,2.14E+01,DYM,dymeclin
220774_at,2.99E-04,9.48E-05,9.95,DYM,dymeclin
227730_at,1.54E-02,8.61E-03,4.93,DYM,dymeclin
229115_at,1.99E-02,1.15E-02,4.62,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
244768_at,2.18E-02,1.28E-02,4.5,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
241084_x_at,3.80E-02,2.41E-02,3.83,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
1556831_at,5.03E-02,3.31E-02,3.5,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
211928_at,2.16E-01,1.75E-01,1.77,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
236183_at,4.12E-01,3.66E-01,1.01,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
229042_s_at,7.88E-01,7.63E-01,2.71E-01,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
1569843_at,2.08E-07,2.21E-08,2.02E+01,DYNC1I1,dynein cytoplasmic 1 intermediate chain 1
205348_s_at,1.10E-04,2.98E-05,1.13E+01,DYNC1I1,dynein cytoplasmic 1 intermediate chain 1
211684_s_at,1.26E-06,1.76E-07,1.75E+01,DYNC1I2,dynein cytoplasmic 1 intermediate chain 2
236698_at,7.09E-01,6.77E-01,3.92E-01,DYNC1I2,dynein cytoplasmic 1 intermediate chain 2
242363_at,8.51E-01,8.33E-01,1.83E-01,DYNC1I2,dynein cytoplasmic 1 intermediate chain 2
222479_s_at,1.94E-03,8.10E-04,7.52,DYNC1LI1,dynein cytoplasmic 1 light intermediate chain 1
217976_s_at,2.33E-03,9.95E-04,7.29,DYNC1LI1,dynein cytoplasmic 1 light intermediate chain 1
224614_at,3.08E-04,9.81E-05,9.91,DYNC1LI2,dynein cytoplasmic 1 light intermediate chain 2
203590_at,3.20E-04,1.03E-04,9.86,DYNC1LI2,dynein cytoplasmic 1 light intermediate chain 2
224616_at,7.28E-03,3.67E-03,5.85,DYNC1LI2,dynein cytoplasmic 1 light intermediate chain 2
213162_at,1.15E-01,8.52E-02,2.51,DYNC1LI2,dynein cytoplasmic 1 light intermediate chain 2
1561939_at,7.32E-04,2.65E-04,8.77,DYNC2H1,dynein cytoplasmic 2 heavy chain 1
219469_at,6.10E-03,3.00E-03,6.07,DYNC2H1,dynein cytoplasmic 2 heavy chain 1
1565149_at,1.27E-02,6.92E-03,5.17,DYNC2H1,dynein cytoplasmic 2 heavy chain 1
203763_at,2.06E-07,2.18E-08,2.02E+01,DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1
203762_s_at,2.62E-07,2.89E-08,1.99E+01,DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1
241757_x_at,1.35E-04,3.80E-05,1.10E+01,DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1
1554324_s_at,1.51E-04,4.31E-05,1.09E+01,DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1
200703_at,3.30E-12,6.15E-14,3.86E+01,DYNLL1,dynein light chain LC8-type 1
229106_at,2.95E-06,4.70E-07,1.63E+01,DYNLL2,dynein light chain LC8-type 2
225494_at,5.24E-02,3.47E-02,3.45,DYNLL2,dynein light chain LC8-type 2
238467_at,1.18E-01,8.78E-02,2.48,DYNLL2,dynein light chain LC8-type 2
217918_at,2.29E-04,6.98E-05,1.03E+01,DYNLRB1,dynein light chain roadblock-type 1
1565611_at,5.15E-03,2.48E-03,6.28,DYNLRB1,dynein light chain roadblock-type 1
1565612_at,1.15E-02,6.21E-03,5.28,DYNLRB1,dynein light chain roadblock-type 1
217917_s_at,4.48E-02,2.91E-02,3.64,DYNLRB1,dynein light chain roadblock-type 1
1554568_at,1.08E-01,7.91E-02,2.59,DYNLRB1,dynein light chain roadblock-type 1
238116_at,3.39E-03,1.53E-03,6.81,DYNLRB2,dynein light chain roadblock-type 2
201999_s_at,2.33E-01,1.91E-01,1.68,DYNLT1,dynein light chain Tctex-type 1
203303_at,1.39E-01,1.06E-01,2.28,DYNLT3,dynein light chain Tctex-type 3
209033_s_at,2.94E-07,3.30E-08,1.97E+01,DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A
215234_at,2.30E-04,7.02E-05,1.03E+01,DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A
239308_at,2.21E-02,1.30E-02,4.49,DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A
211541_s_at,4.38E-01,3.91E-01,9.45E-01,DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A
211079_s_at,9.31E-01,9.22E-01,8.13E-02,DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A
217270_s_at,4.90E-02,3.22E-02,3.53,DYRK1B,dual specificity tyrosine phosphorylation regulated kinase 1B
204954_s_at,6.51E-01,6.15E-01,4.89E-01,DYRK1B,dual specificity tyrosine phosphorylation regulated kinase 1B
202970_at,2.66E-07,2.93E-08,1.98E+01,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
202971_s_at,2.32E-03,9.89E-04,7.29,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
202969_at,9.94E-02,7.21E-02,2.68,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
202968_s_at,2.23E-01,1.81E-01,1.73,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
1560785_at,8.42E-03,4.34E-03,5.67,DYRK3,dual specificity tyrosine phosphorylation regulated kinase 3
210151_s_at,8.00E-01,7.77E-01,2.53E-01,DYRK3,dual specificity tyrosine phosphorylation regulated kinase 3
212954_at,4.75E-01,4.30E-01,8.50E-01,DYRK4,dual specificity tyrosine phosphorylation regulated kinase 4
218660_at,7.98E-06,1.48E-06,1.49E+01,DYSF,dysferlin
235273_at,4.35E-08,3.62E-09,2.26E+01,DYX1C1,dyslexia susceptibility 1 candidate 1
222156_x_at,3.92E-04,1.29E-04,9.59,DYX1C1-CCPG1///CCPG1,DYX1C1-CCPG1 readthrough (NMD candidate)///cell cycle progression 1
221511_x_at,6.86E-04,2.46E-04,8.86,DYX1C1-CCPG1///CCPG1,DYX1C1-CCPG1 readthrough (NMD candidate)///cell cycle progression 1
214151_s_at,2.42E-02,1.45E-02,4.38,DYX1C1-CCPG1///CCPG1,DYX1C1-CCPG1 readthrough (NMD candidate)///cell cycle progression 1
214152_at,5.31E-01,4.87E-01,7.23E-01,DYX1C1-CCPG1///CCPG1,DYX1C1-CCPG1 readthrough (NMD candidate)///cell cycle progression 1
241713_s_at,8.12E-09,5.23E-10,2.52E+01,DYX1C1-CCPG1///DYX1C1,DYX1C1-CCPG1 readthrough (NMD candidate)///dyslexia susceptibility 1 candidate 1
219951_s_at,2.19E-02,1.28E-02,4.5,DZANK1,double zinc ribbon and ankyrin repeat domains 1
1554818_s_at,6.04E-01,5.64E-01,5.76E-01,DZANK1,double zinc ribbon and ankyrin repeat domains 1
204557_s_at,3.86E-06,6.42E-07,1.59E+01,DZIP1,DAZ interacting zinc finger protein 1
204556_s_at,1.21E-04,3.34E-05,1.12E+01,DZIP1,DAZ interacting zinc finger protein 1
239785_at,6.64E-02,4.55E-02,3.16,DZIP1L,DAZ interacting zinc finger protein 1 like
213186_at,2.35E-07,2.55E-08,2.00E+01,DZIP3,DAZ interacting zinc finger protein 3
207231_at,5.55E-05,1.36E-05,1.22E+01,DZIP3,DAZ interacting zinc finger protein 3
207232_s_at,1.88E-01,1.49E-01,1.93,DZIP3,DAZ interacting zinc finger protein 3
204947_at,4.84E-08,4.10E-09,2.24E+01,E2F1,E2F transcription factor 1
2028_s_at,1.33E-02,7.28E-03,5.11,E2F1,E2F transcription factor 1
228361_at,9.78E-06,1.87E-06,1.46E+01,E2F2,E2F transcription factor 2
207042_at,8.47E-03,4.36E-03,5.66,E2F2,E2F transcription factor 2
235582_at,1.66E-01,1.29E-01,2.08,E2F2,E2F transcription factor 2
203692_s_at,4.91E-02,3.22E-02,3.53,E2F3,E2F transcription factor 3
203693_s_at,6.45E-02,4.41E-02,3.2,E2F3,E2F transcription factor 3
202248_at,1.30E-06,1.83E-07,1.75E+01,E2F4,E2F transcription factor 4
38707_r_at,6.69E-04,2.38E-04,8.89,E2F4,E2F transcription factor 4
222051_s_at,2.98E-05,6.71E-06,1.31E+01,E2F5,E2F transcription factor 5
221586_s_at,1.18E-03,4.59E-04,8.15,E2F5,E2F transcription factor 5
203957_at,4.41E-01,3.95E-01,9.36E-01,E2F6,E2F transcription factor 6
228033_at,2.56E-07,2.81E-08,1.99E+01,E2F7,E2F transcription factor 7
241725_at,3.55E-05,8.21E-06,1.28E+01,E2F7,E2F transcription factor 7
219990_at,1.57E-07,1.59E-08,2.06E+01,E2F8,E2F transcription factor 8
218524_at,2.40E-02,1.43E-02,4.39,E4F1,E4F transcription factor 1
226952_at,4.76E-01,4.31E-01,8.47E-01,EAF1,ELL associated factor 1
219551_at,5.49E-03,2.66E-03,6.2,EAF2,ELL associated factor 2
1568673_s_at,3.21E-02,1.99E-02,4.03,EAF2,ELL associated factor 2
1568672_at,5.31E-01,4.87E-01,7.22E-01,EAF2,ELL associated factor 2
202623_at,3.92E-09,2.27E-10,2.64E+01,EAPP,E2F associated phosphoprotein
227374_at,3.60E-04,1.17E-04,9.7,EARS2,"glutamyl-tRNA synthetase 2, mitochondrial"
225993_at,7.24E-02,5.02E-02,3.06,EARS2,"glutamyl-tRNA synthetase 2, mitochondrial"
1555437_at,5.25E-01,4.81E-01,7.36E-01,EARS2,"glutamyl-tRNA synthetase 2, mitochondrial"
1563796_s_at,8.66E-01,8.50E-01,1.63E-01,EARS2,"glutamyl-tRNA synthetase 2, mitochondrial"
204278_s_at,3.83E-03,1.76E-03,6.66,EBAG9,"estrogen receptor binding site associated, antigen, 9"
204274_at,2.16E-01,1.75E-01,1.77,EBAG9,"estrogen receptor binding site associated, antigen, 9"
229487_at,2.06E-08,1.53E-09,2.38E+01,EBF1,early B-cell factor 1
232204_at,2.49E-08,1.91E-09,2.35E+01,EBF1,early B-cell factor 1
227646_at,1.58E-06,2.29E-07,1.72E+01,EBF1,early B-cell factor 1
233261_at,4.16E-02,2.67E-02,3.72,EBF1,early B-cell factor 1
244885_at,2.64E-06,4.13E-07,1.65E+01,EBF2,early B-cell factor 2
220392_at,5.63E-04,1.96E-04,9.11,EBF2,early B-cell factor 2
1562477_at,3.19E-02,1.98E-02,4.04,EBF2,early B-cell factor 2
227242_s_at,1.29E-14,9.80E-17,4.94E+01,EBF3,early B-cell factor 3
227243_s_at,8.76E-14,9.21E-16,4.55E+01,EBF3,early B-cell factor 3
1559796_at,4.19E-07,4.97E-08,1.92E+01,EBF3,early B-cell factor 3
233850_s_at,4.44E-01,3.98E-01,9.27E-01,EBF4,early B-cell factor 4
219424_at,1.55E-01,1.20E-01,2.15,EBI3,Epstein-Barr virus induced 3
219906_at,1.44E-07,1.45E-08,2.08E+01,EBLN2,endogenous Bornavirus-like nucleoprotein 2
226635_at,2.33E-06,3.56E-07,1.67E+01,EBLN3P,"endogenous Bornavirus-like nucleoprotein 3, pseudogene"
225635_s_at,8.48E-03,4.37E-03,5.66,EBLN3P,"endogenous Bornavirus-like nucleoprotein 3, pseudogene"
225640_at,1.92E-02,1.11E-02,4.66,EBLN3P,"endogenous Bornavirus-like nucleoprotein 3, pseudogene"
213787_s_at,3.75E-06,6.20E-07,1.60E+01,EBP,emopamil binding protein (sterol isomerase)
213789_at,1.25E-03,4.90E-04,8.08,EBP,emopamil binding protein (sterol isomerase)
202735_at,1.83E-01,1.45E-01,1.96,EBP,emopamil binding protein (sterol isomerase)
231320_at,1.96E-01,1.57E-01,1.88,EBP,emopamil binding protein (sterol isomerase)
223306_at,4.23E-03,1.97E-03,6.53,EBPL,emopamil binding protein like
203013_at,1.31E-02,7.18E-03,5.13,ECD,ecdysoneless cell cycle regulator
201749_at,3.43E-03,1.55E-03,6.8,ECE1,endothelin converting enzyme 1
201750_s_at,1.89E-02,1.09E-02,4.68,ECE1,endothelin converting enzyme 1
227103_s_at,7.82E-07,1.02E-07,1.82E+01,ECE2,endothelin converting enzyme 2
206728_at,3.91E-05,9.16E-06,1.27E+01,ECE2,endothelin converting enzyme 2
1555306_a_at,8.83E-01,8.69E-01,1.41E-01,ECE2,endothelin converting enzyme 2
219914_at,3.82E-02,2.42E-02,3.83,ECEL1,endothelin converting enzyme like 1
200789_at,1.03E-03,3.90E-04,8.34,ECH1,enoyl-CoA hydratase 1
233124_s_at,4.43E-03,2.08E-03,6.47,ECHDC1,ethylmalonyl-CoA decarboxylase 1
219974_x_at,2.44E-02,1.46E-02,4.37,ECHDC1,ethylmalonyl-CoA decarboxylase 1
223088_x_at,1.46E-01,1.12E-01,2.23,ECHDC1,ethylmalonyl-CoA decarboxylase 1
223087_at,3.30E-01,2.84E-01,1.27,ECHDC1,ethylmalonyl-CoA decarboxylase 1
218552_at,9.91E-06,1.90E-06,1.46E+01,ECHDC2,enoyl-CoA hydratase domain containing 2
